published_at,topic,source,title,url
2026-07-21T14:07:40+00:00,politics,BBC Politics,Farage calls for general election: 'Burnham has no mandate',https://www.bbc.co.uk/news/videos/cg4dz2dgv41o?at_medium=RSS&at_campaign=rss
2026-07-21T14:01:50+00:00,politics,The Hill,Watch live: House Democrats push back on Trump agenda as midterms inch closer,https://thehill.com/video-clips/5980222-watch-live-house-democrats-press-conference-midterms/
2026-07-21T14:00:00+00:00,politics,The Hill,Don't listen to Democrats whining about election interference,https://thehill.com/opinion/campaign/5978726-us-election-decentralization-explained/
2026-07-21T13:57:20+00:00,politics,BBC Politics,"Ann Widdecombe was hit on head repeatedly with hammer, prosecutors say",https://www.bbc.co.uk/news/articles/cj03r77n07jo?at_medium=RSS&at_campaign=rss
2026-07-21T13:53:57+00:00,politics,The Hill,"Father, son charged in US Forest Service workers' kidnapping",https://thehill.com/regulation/court-battles/5980013-father-son-kidnap-forest-service-employees/
2026-07-21T13:41:07+00:00,politics,The Hill,"Watch live: RFK Jr., Oz outline federal efforts to combat healthcare fraud",https://thehill.com/video-clips/5980064-watch-live-robert-f-kennedy-jr-mehmet-oz-anti-fraud-efforts-medicaid-healthcare/
2026-07-21T13:30:43+00:00,politics,The Guardian (Politics),Andy Burnham says his will be a ‘cost-of-living government’ in first cabinet meeting as PM – UK politics live,https://www.theguardian.com/politics/live/2026/jul/21/andy-burnham-pm-labour-energy-bills-cost-of-living-cabinet-latest-news-updates
2026-07-21T13:30:00+00:00,politics,The Hill,Handing agency oversight to Trump is a fatal blow to public trust,https://thehill.com/opinion/white-house/5978985-agency-independence-eroded-trust/
2026-07-21T13:28:05+00:00,politics,The Hill,Mamdani has 'no jurisdiction' to arrest Netanyahu: Israeli ambassador,https://thehill.com/policy/international/5980042-danon-rejects-mamdani-netanyahu-arrest-jurisdiction/
2026-07-21T13:28:05+00:00,politics,The Hill,Fox News pundits urge Trump to get out of Iran war,https://thehill.com/homenews/administration/5979968-fox-news-urges-trump-deescalate-iran/
2026-07-21T13:24:58+00:00,politics,The Guardian (Politics),What will Andy Burnham’s VAT cut on electricity bills mean for you?,https://www.theguardian.com/money/2026/jul/21/what-will-andy-burnhams-vat-cut-on-energy-bills-mean-for-you
2026-07-21T13:24:38+00:00,politics,The Hill,Graham funeral details released by sister's office,https://thehill.com/homenews/senate/5980028-senator-graham-memorial-services/
2026-07-21T13:19:12+00:00,politics,The Hill,O'Reilly: Trump has 'shrinking options' in Iran war,https://thehill.com/policy/defense/5979939-bill-oreilly-donald-trump-iran-war-options/
2026-07-21T13:15:31+00:00,politics,BBC Politics,Who is the UK's new chancellor?,https://www.bbc.co.uk/news/videos/c5yw8gzzgp5o?at_medium=RSS&at_campaign=rss
2026-07-21T13:09:38+00:00,politics,The Hill,Live updates: Trump hosts Lebanese president amid Iran conflict escalation,https://thehill.com/homenews/administration/5979578-live-updates-trump-iran-hegseth-caine/
2026-07-21T13:00:00+00:00,politics,The Hill,Watch live: House Republicans give remarks amid budget battle,https://thehill.com/video-clips/5979910-watch-live-house-republicans-mike-johnson-weekly-remarks/
2026-07-21T13:00:00+00:00,politics,The Hill,Watch live: House convenes hearing on confronting terrorism threat post-9/11,https://thehill.com/video-clips/5979792-watch-live-hr-mcmaster-house-intelligence-committee-terrorism-threats-post-sept-11/
2026-07-21T13:00:00+00:00,politics,The Hill,Watch live: NMAH director testifies before House DOGE panel on accusations of rewriting history,https://thehill.com/video-clips/5979860-watch-live-anthea-hartig-national-museum-american-history-house-doge-panel/
2026-07-21T13:00:00+00:00,politics,The Hill,America needs to get smarter on remote work,https://thehill.com/opinion/technology/5978927-us-government-remote-work-reform/
